Player,PTS,AST,ORB,DRB,STL,BLK,TOV,FGA,3PA,FTA,eFG%,FG%,3P%,FT%,G,MP,TS%,USG%,AST%,ORB%,DRB%,STL%,BLK%,TOV%,3PAr,FTr,OBPM,DBPM,0-3 % of FGA,10-16 % of FGA,3P % of FGA,0-3 FG%,10-16 FG%,% of 2P Ast’d,% of 3P Ast’d,Dunks %FGA,3PA% Corner
Matisse Thybulle,17.4,4.4,2.2,5.9,5.1,1.4,2.0,13.7,7.5,2.3,0.597,0.477,0.438,0.467,15,312,0.592,14.4,12.7,4.7,13.6,5.1,2.6,12.1,0.545,0.17,0.0,5.1,0.148,0.011,0.545,0.769,0.0,0.571,1.0,0.091,0.458
Mitchell Robinson,14.9,2.2,8.9,8.4,2.7,3.1,1.7,9.6,0.0,3.3,0.661,0.661,0.0,0.684,17,290,0.676,11.1,5.9,20.8,19.2,2.7,5.8,13.4,0.0,0.339,1.5,1.8,0.893,0.0,0.0,0.72,0.0,0.378,0.0,0.411,0.0
Dru Smith,16.2,4.3,2.2,4.5,3.9,1.1,3.2,11.4,5.6,2.2,0.639,0.508,0.533,0.75,14,268,0.656,13.8,12.0,5.0,9.8,3.9,2.1,20.4,0.492,0.197,-1.3,3.4,0.23,0.049,0.492,0.714,0.0,0.4,0.875,0.0,0.367
Oscar Tshiebwe,20.1,1.7,8.7,14.3,2.4,0.2,1.9,13.2,0.0,5.8,0.6,0.6,0.0,0.742,14,255,0.64,15.3,5.3,19.6,31.9,2.4,0.4,10.7,0.0,0.443,0.6,-2.0,0.3,0.071,0.0,0.81,0.2,0.595,0.0,0.114,0.0
Marcus Bagley,13.1,1.9,4.5,9.2,1.8,2.3,1.4,13.4,6.2,1.9,0.428,0.391,0.156,0.8,10,253,0.456,13.8,5.5,9.9,21.9,1.8,4.7,8.7,0.464,0.145,-3.4,-0.9,0.391,0.043,0.464,0.704,0.333,0.545,0.8,0.159,0.406
Zach LaVine,31.6,5.7,0.4,5.4,1.1,0.2,3.8,22.4,9.8,5.2,0.609,0.511,0.446,0.825,74,2602,0.639,25.3,18.3,0.9,12.0,1.1,0.4,13.4,0.438,0.233,2.3,-1.6,0.242,0.07,0.438,0.723,0.442,0.495,0.544,0.06,0.17
De'Aaron Fox,31.7,8.5,1.2,5.3,2.0,0.5,3.8,25.3,8.3,6.9,0.514,0.463,0.31,0.827,62,2241,0.56,28.3,27.2,2.7,12.1,2.0,1.1,11.8,0.328,0.273,1.3,-1.0,0.156,0.153,0.328,0.698,0.472,0.318,0.669,0.019,0.16
Max Christie,17.2,3.4,0.9,5.0,1.5,0.7,2.0,13.5,7.2,3.5,0.525,0.427,0.366,0.855,78,2127,0.57,15.2,9.2,2.0,11.2,1.5,1.3,11.8,0.532,0.258,-2.1,-0.5,0.144,0.073,0.532,0.8,0.279,0.606,0.957,0.053,0.366
Dennis Schröder,22.7,9.4,0.6,4.0,1.5,0.3,3.3,19.2,8.6,5.0,0.483,0.406,0.342,0.838,75,2105,0.531,21.6,28.7,1.4,9.2,1.5,0.6,13.3,0.449,0.261,-1.3,-0.9,0.129,0.135,0.449,0.636,0.491,0.244,0.756,0.0,0.092
Davion Mitchell,14.2,8.8,0.8,3.2,1.7,0.4,3.1,11.5,5.1,2.0,0.557,0.468,0.398,0.69,74,2027,0.573,13.6,24.2,1.9,7.1,1.7,0.8,20.0,0.443,0.176,-2.8,0.2,0.271,0.05,0.443,0.651,0.375,0.281,0.821,0.0,0.19
Quentin Grimes,26.5,5.5,1.4,6.4,1.8,0.5,3.4,20.0,10.2,5.2,0.565,0.467,0.385,0.757,75,2013,0.595,22.8,17.7,3.2,14.7,1.8,1.0,13.3,0.512,0.26,1.3,-0.9,0.232,0.077,0.512,0.728,0.397,0.441,0.79,0.033,0.233
Kyle Kuzma,23.9,3.8,1.3,7.8,0.9,0.5,3.6,21.0,7.8,5.0,0.493,0.436,0.307,0.634,65,1936,0.514,24.0,12.1,3.0,17.1,0.9,0.9,13.5,0.369,0.238,-2.9,-2.0,0.222,0.085,0.369,0.75,0.361,0.573,0.854,0.029,0.246
Andrew Wiggins,28.7,4.2,2.4,4.8,1.6,1.3,2.6,22.3,9.3,6.8,0.526,0.448,0.374,0.763,60,1842,0.566,24.5,13.5,5.1,10.8,1.6,2.6,9.4,0.415,0.306,1.2,-0.3,0.168,0.061,0.415,0.596,0.49,0.504,0.869,0.052,0.164
Dorian Finney-Smith,14.9,2.4,2.2,4.5,1.6,0.6,1.5,11.8,8.5,1.2,0.597,0.448,0.411,0.667,63,1818,0.604,12.3,6.9,5.0,10.4,1.6,1.2,11.0,0.722,0.103,-1.1,0.1,0.182,0.018,0.722,0.62,0.5,0.697,0.992,0.037,0.382
Luka Dončić,38.9,10.6,1.1,10.2,2.5,0.6,4.9,28.3,13.3,10.9,0.536,0.45,0.368,0.782,50,1769,0.587,33.9,36.1,2.6,22.6,2.5,1.1,13.0,0.469,0.385,5.5,1.2,0.104,0.167,0.469,0.748,0.45,0.261,0.441,0.001,0.046
Jimmy Butler,27.2,8.4,3.5,4.8,2.2,0.5,2.1,16.8,2.9,11.0,0.531,0.504,0.308,0.842,55,1746,0.626,20.8,25.5,7.7,10.8,2.2,1.0,8.8,0.174,0.657,4.0,1.0,0.317,0.127,0.174,0.741,0.487,0.554,0.875,0.092,0.5
De'Andre Hunter,29.6,2.5,1.2,5.8,1.4,0.4,2.2,20.7,10.5,6.9,0.573,0.47,0.405,0.846,64,1740,0.623,22.8,7.5,2.7,13.4,1.4,0.7,8.6,0.509,0.333,1.2,-0.8,0.15,0.1,0.509,0.649,0.487,0.637,0.911,0.039,0.281
Anthony Davis,36.3,5.2,3.9,13.1,1.7,3.2,3.2,26.2,3.6,10.6,0.536,0.516,0.282,0.775,51,1706,0.588,30.4,18.3,9.1,29.1,1.7,6.0,9.5,0.136,0.405,3.9,1.5,0.297,0.144,0.136,0.756,0.344,0.605,0.886,0.099,0.081
Georges Niang,22.0,3.1,1.3,6.3,0.8,0.4,2.3,17.4,11.5,1.6,0.595,0.461,0.406,0.793,79,1697,0.607,17.9,8.8,3.1,14.3,0.8,0.8,11.3,0.66,0.094,-1.1,-1.2,0.139,0.035,0.66,0.64,0.364,0.833,0.988,0.0,0.377
Kevin Huerter,19.4,4.4,0.9,5.0,1.9,0.7,1.9,17.2,11.1,1.4,0.535,0.425,0.338,0.714,69,1679,0.544,17.5,12.6,2.0,11.3,1.9,1.3,9.7,0.647,0.081,-1.8,-0.2,0.134,0.04,0.647,0.765,0.458,0.76,0.932,0.015,0.23
Caris LeVert,23.1,6.4,1.2,4.8,1.7,1.0,2.3,17.8,8.5,4.6,0.556,0.467,0.373,0.71,64,1596,0.582,19.4,18.1,2.8,11.0,1.7,1.9,10.2,0.474,0.259,0.8,0.1,0.299,0.087,0.474,0.665,0.404,0.644,0.792,0.053,0.31
Jonas Valančiūnas,26.6,5.2,6.0,13.8,1.2,1.4,3.8,19.8,1.2,5.2,0.557,0.55,0.216,0.879,81,1524,0.602,22.8,17.6,13.3,30.7,1.2,2.8,14.6,0.059,0.263,0.8,-0.1,0.319,0.129,0.059,0.67,0.42,0.573,1.0,0.07,0.081
Kevin Porter Jr.,25.4,8.4,1.4,7.8,2.7,0.4,4.5,21.5,5.8,5.6,0.492,0.449,0.311,0.769,75,1482,0.531,25.4,25.9,3.2,17.3,2.7,0.9,15.8,0.271,0.259,-1.6,0.9,0.179,0.187,0.271,0.658,0.516,0.261,0.491,0.066,0.124
D'Angelo Russell,24.5,9.9,0.7,4.7,1.9,0.8,3.6,21.3,12.0,4.8,0.479,0.39,0.314,0.834,58,1480,0.522,24.0,31.2,1.5,11.0,1.9,1.5,13.3,0.564,0.227,0.0,-0.4,0.1,0.121,0.564,0.703,0.377,0.449,0.584,0.002,0.089
Terance Mann,17.6,4.1,2.3,4.4,1.6,0.5,1.6,14.0,5.5,2.3,0.569,0.496,0.368,0.691,67,1414,0.584,14.7,11.7,5.3,10.4,1.6,1.0,9.6,0.395,0.165,-1.4,0.0,0.247,0.116,0.395,0.765,0.438,0.579,0.9,0.08,0.466
Jake LaRavia,16.0,5.5,3.1,5.9,2.2,0.8,3.0,11.8,5.0,4.0,0.564,0.475,0.423,0.678,66,1349,0.591,14.4,14.6,7.2,13.3,2.2,1.6,18.2,0.421,0.341,-0.8,1.1,0.249,0.047,0.421,0.607,0.25,0.59,0.95,0.074,0.261
Bogdan Bogdanović,20.8,5.2,0.9,4.8,1.5,0.4,2.6,17.6,10.3,2.4,0.534,0.427,0.363,0.879,54,1348,0.559,18.7,15.2,2.0,11.2,1.5,0.8,12.4,0.587,0.134,-1.8,-0.2,0.11,0.12,0.587,0.574,0.525,0.524,0.848,0.002,0.208
Javonte Green,13.3,2.2,2.3,6.1,2.5,1.2,1.2,11.0,5.4,2.9,0.509,0.429,0.326,0.724,68,1258,0.541,11.8,5.9,5.0,13.9,2.5,2.4,9.1,0.491,0.265,-2.8,0.5,0.317,0.024,0.491,0.692,0.143,0.636,1.0,0.077,0.475
Nick Richards,20.8,1.9,5.8,12.5,0.6,2.2,3.2,13.6,0.1,6.3,0.591,0.591,0.0,0.744,57,1256,0.634,17.3,5.9,13.1,27.5,0.5,4.2,16.3,0.006,0.461,-2.0,-1.3,0.496,0.092,0.006,0.75,0.469,0.683,0.0,0.288,1.0
Caleb Martin,14.3,3.8,2.1,5.0,1.9,0.9,2.3,12.3,4.2,3.9,0.485,0.424,0.359,0.622,45,1218,0.513,14.4,10.7,4.8,11.7,1.9,1.8,13.9,0.339,0.322,-2.9,-0.2,0.243,0.082,0.339,0.608,0.56,0.435,0.973,0.03,0.417
Cody Martin,15.0,4.4,2.2,7.2,2.4,1.3,2.1,13.6,6.3,2.6,0.485,0.418,0.285,0.705,53,1173,0.509,14.7,13.0,4.8,15.9,2.4,2.7,12.7,0.465,0.188,-2.8,1.1,0.228,0.108,0.465,0.743,0.343,0.591,0.953,0.052,0.517
Ben Simmons,11.3,12.6,2.1,8.6,1.7,1.0,4.5,9.9,0.0,1.5,0.52,0.52,0.0,0.727,51,1120,0.539,13.2,37.0,4.6,20.3,1.7,2.0,30.0,0.0,0.148,-2.3,1.8,0.422,0.067,0.0,0.606,0.333,0.517,0.0,0.103,0.0
Jusuf Nurkić,21.0,5.3,3.9,14.5,1.9,1.6,4.5,16.3,4.9,5.9,0.523,0.477,0.305,0.664,51,1063,0.555,20.6,16.8,8.8,32.0,1.9,3.1,19.2,0.298,0.364,-2.2,0.9,0.293,0.028,0.298,0.689,0.3,0.676,0.969,0.065,0.105
Jared Butler,25.2,10.3,1.2,4.0,2.0,0.6,3.7,21.1,7.9,4.2,0.514,0.448,0.355,0.824,60,1044,0.549,23.6,33.8,2.5,9.3,2.0,1.2,14.0,0.373,0.201,0.5,-1.5,0.196,0.119,0.373,0.663,0.407,0.259,0.783,0.0,0.213
Kyle Anderson,17.5,7.1,2.6,7.5,2.0,1.6,1.8,14.9,3.4,3.2,0.51,0.469,0.357,0.738,61,1002,0.538,15.9,20.7,5.7,16.8,2.0,3.1,10.0,0.231,0.215,-0.6,2.2,0.185,0.102,0.231,0.714,0.355,0.496,0.96,0.036,0.443
Zach Collins,19.7,5.4,4.9,9.0,1.4,1.4,2.9,14.6,5.1,3.8,0.56,0.507,0.302,0.885,64,977,0.605,17.1,15.6,11.1,19.9,1.4,2.6,15.1,0.351,0.258,-0.8,0.8,0.358,0.046,0.351,0.722,0.357,0.818,1.0,0.073,0.236
Bruce Brown,17.8,4.4,2.1,6.5,1.8,0.5,2.0,16.2,4.2,3.4,0.464,0.421,0.333,0.815,41,922,0.504,17.2,12.8,4.5,14.9,1.8,1.0,10.4,0.262,0.21,-3.2,-0.6,0.265,0.172,0.262,0.646,0.358,0.65,0.963,0.023,0.506
KJ Martin,14.6,2.6,1.6,5.1,0.9,1.2,1.3,10.7,3.1,2.5,0.59,0.552,0.259,0.787,43,912,0.618,11.5,7.4,3.6,11.8,0.9,2.3,9.8,0.289,0.234,-3.2,-0.3,0.388,0.0,0.289,0.705,0.0,0.844,1.0,0.254,0.724
Tre Jones,17.3,10.1,1.6,4.5,1.9,0.5,1.8,12.5,2.5,3.5,0.578,0.538,0.396,0.821,46,905,0.617,14.1,28.6,3.7,9.9,1.9,1.0,11.6,0.202,0.282,0.5,1.0,0.345,0.076,0.202,0.671,0.222,0.514,1.0,0.004,0.5
Kelly Olynyk,20.8,6.9,3.4,7.8,1.8,1.0,4.1,14.5,4.3,5.9,0.562,0.5,0.418,0.769,44,891,0.609,18.5,20.5,7.3,17.9,1.8,2.0,19.4,0.295,0.403,-1.1,0.4,0.336,0.078,0.295,0.667,0.381,0.564,0.818,0.015,0.127
Khris Middleton,25.1,8.6,0.7,7.1,2.0,0.5,3.2,19.2,7.6,4.8,0.546,0.475,0.361,0.857,37,843,0.588,22.0,26.8,1.7,15.4,2.0,0.9,13.0,0.395,0.249,0.4,0.3,0.074,0.196,0.395,0.6,0.47,0.402,0.75,0.003,0.165
Vasilije Micić,16.9,8.0,1.3,4.3,0.9,0.0,4.8,17.1,7.8,2.6,0.43,0.348,0.36,0.829,41,785,0.462,19.9,24.3,2.7,9.6,0.9,0.0,20.9,0.458,0.15,-4.6,-2.4,0.154,0.095,0.458,0.571,0.192,0.34,0.533,0.0,0.032
Orlando Robinson,19.0,4.8,5.6,8.2,1.1,1.0,3.1,16.3,3.3,4.4,0.477,0.444,0.327,0.771,44,770,0.519,18.5,14.0,12.1,18.7,1.1,2.0,14.4,0.199,0.268,-3.0,-0.4,0.345,0.111,0.199,0.622,0.379,0.657,1.0,0.077,0.135
Marcus Smart,21.0,7.5,1.2,3.7,2.7,0.6,3.7,17.7,9.7,4.9,0.488,0.393,0.348,0.761,34,680,0.529,20.6,21.7,2.8,8.3,2.7,1.2,15.8,0.549,0.276,-1.6,0.1,0.074,0.066,0.549,0.579,0.412,0.385,0.837,0.004,0.27
AJ Johnson,16.4,5.7,0.6,3.8,0.9,0.2,2.6,15.9,6.7,2.8,0.441,0.385,0.267,0.865,29,639,0.48,17.4,17.1,1.3,8.3,0.9,0.4,13.2,0.423,0.174,-5.6,-2.5,0.291,0.028,0.423,0.565,0.0,0.534,0.667,0.099,0.122
Delon Wright,9.6,5.9,2.1,3.0,2.7,0.9,1.7,10.1,5.6,1.9,0.42,0.344,0.274,0.6,40,635,0.44,11.3,15.0,4.9,6.5,2.7,1.8,13.4,0.557,0.191,-2.8,1.4,0.244,0.038,0.557,0.563,0.2,0.44,1.0,0.0,0.26
Josh Okogie,22.3,2.6,3.6,5.4,3.8,1.4,2.4,16.7,7.3,6.7,0.519,0.443,0.348,0.741,40,625,0.567,19.5,7.9,8.0,11.8,3.8,2.8,11.1,0.434,0.401,-0.1,1.6,0.283,0.028,0.434,0.733,0.333,0.629,1.0,0.08,0.522
Elfrid Payton,8.1,15.8,1.4,6.1,2.3,1.0,5.6,11.6,0.6,0.7,0.332,0.328,0.167,0.571,24,511,0.34,15.2,43.3,3.1,13.9,2.3,2.1,32.1,0.049,0.057,-5.1,-1.3,0.148,0.262,0.049,0.333,0.25,0.179,1.0,0.0,0.167
Colin Castleton,13.7,3.1,5.9,7.7,0.9,1.1,2.6,10.9,1.8,4.2,0.48,0.469,0.125,0.763,26,432,0.536,13.4,8.9,13.0,17.9,0.9,2.2,16.7,0.163,0.388,-4.0,-1.0,0.337,0.112,0.163,0.697,0.455,0.682,1.0,0.102,0.563
Jalen Hood-Schifino,16.6,5.8,0.5,3.8,0.8,1.1,2.8,15.3,7.2,3.3,0.449,0.378,0.304,0.857,15,315,0.494,17.3,16.7,1.1,9.0,0.8,2.2,14.4,0.469,0.214,-4.4,-2.5,0.071,0.194,0.469,0.571,0.526,0.304,0.571,0.0,0.109
Jared Rhoden,25.1,3.4,3.0,5.9,2.1,0.4,1.9,18.5,8.3,5.3,0.552,0.483,0.308,0.88,14,227,0.602,19.7,10.5,6.5,13.5,2.1,0.8,8.4,0.448,0.287,-0.5,0.0,0.425,0.023,0.448,0.73,0.0,0.7,0.75,0.103,0.462
Cole Swider,16.8,0.9,1.4,6.3,1.1,0.6,1.1,17.9,13.4,0.3,0.468,0.349,0.319,0.0,10,169,0.465,16.7,2.3,3.1,14.3,1.1,1.1,5.9,0.746,0.016,-4.9,-2.4,0.063,0.048,0.746,0.25,0.667,0.714,1.0,0.0,0.404
