Player,PTS,AST,ORB,DRB,STL,BLK,TOV,FGA,3PA,FTA,eFG%,FG%,3P%,FT%,G,MP,TS%,USG%,AST%,ORB%,DRB%,STL%,BLK%,TOV%,3PAr,FTr,OBPM,DBPM,0-3 % of FGA,10-16 % of FGA,3P % of FGA,0-3 FG%,10-16 FG%,% of 2P Ast’d,% of 3P Ast’d,Dunks %FGA,3PA% Corner
Brandon Miller,30.2,5.2,1.3,5.6,1.5,1.1,4.0,26.1,15.6,4.2,0.509,0.403,0.355,0.861,27,924,0.54,27.7,18.3,2.8,12.5,1.5,2.1,12.6,0.597,0.161,0.8,-0.8,0.112,0.096,0.597,0.727,0.362,0.511,0.808,0.037,0.082
Immanuel Quickley,29.6,10.0,0.8,5.3,1.2,0.2,3.0,23.0,11.8,6.7,0.517,0.42,0.378,0.867,33,918,0.57,25.1,31.5,1.8,12.1,1.2,0.4,10.5,0.514,0.292,3.2,-1.0,0.103,0.112,0.514,0.578,0.429,0.384,0.741,0.002,0.107
Trendon Watford,24.5,6.3,2.0,6.7,1.5,0.7,4.5,19.1,4.8,6.7,0.51,0.469,0.33,0.762,44,913,0.557,23.3,21.0,4.4,16.0,1.5,1.3,17.1,0.251,0.349,-2.3,-0.8,0.3,0.077,0.251,0.667,0.185,0.363,0.966,0.02,0.273
Jaden Hardy,26.5,4.3,0.5,4.3,1.5,0.3,4.4,22.1,10.5,4.6,0.527,0.435,0.386,0.698,57,907,0.549,25.3,13.2,1.1,9.4,1.5,0.5,15.4,0.476,0.208,-2.8,-1.9,0.162,0.157,0.476,0.657,0.508,0.346,0.829,0.027,0.239
Day'Ron Sharpe,21.8,5.0,8.2,9.9,2.3,2.3,3.5,17.4,2.5,4.1,0.538,0.521,0.244,0.757,50,907,0.568,19.9,16.8,17.8,23.8,2.3,4.6,15.3,0.142,0.233,0.0,0.9,0.505,0.035,0.142,0.644,0.364,0.597,1.0,0.114,0.289
Adem Bona,18.4,1.5,5.0,8.3,1.4,3.8,3.3,10.5,0.1,5.4,0.703,0.703,0.0,0.67,58,905,0.714,14.3,4.4,11.1,19.9,1.4,7.5,20.5,0.005,0.521,-2.9,0.2,0.755,0.01,0.005,0.731,0.0,0.696,0.0,0.401,1.0
Jaden Ivey,28.3,6.4,2.1,4.5,1.5,0.6,4.8,22.1,8.2,6.2,0.536,0.46,0.409,0.733,30,898,0.569,26.0,19.7,5.0,10.3,1.5,1.2,16.1,0.373,0.281,0.8,-0.8,0.245,0.094,0.373,0.644,0.333,0.425,0.746,0.024,0.208
Chet Holmgren,26.2,3.4,2.6,11.4,1.3,3.9,3.1,18.7,6.3,7.3,0.554,0.49,0.379,0.754,32,877,0.599,22.0,9.7,6.0,25.0,1.3,8.2,12.3,0.34,0.393,0.5,1.9,0.29,0.117,0.34,0.747,0.25,0.642,1.0,0.117,0.164
Alec Burks,20.6,3.2,0.9,6.3,1.6,0.4,1.7,15.7,12.0,2.8,0.587,0.424,0.425,0.776,49,863,0.608,16.5,9.1,1.9,13.8,1.6,0.8,9.0,0.764,0.181,0.0,0.3,0.059,0.041,0.764,0.5,0.545,0.556,0.955,0.0,0.488
Chris Boucher,28.0,1.8,3.9,8.6,1.3,1.4,1.6,20.7,10.8,4.9,0.586,0.492,0.363,0.782,50,862,0.615,21.2,5.9,8.5,19.6,1.3,2.8,6.6,0.522,0.235,2.9,-0.6,0.292,0.054,0.522,0.75,0.5,0.643,0.986,0.111,0.42
Zion Williamson,41.7,9.0,4.3,7.9,2.1,1.5,5.1,28.7,0.7,13.6,0.57,0.567,0.231,0.656,30,857,0.6,34.7,36.6,9.3,18.2,2.1,3.0,12.8,0.026,0.474,5.9,1.0,0.429,0.047,0.026,0.679,0.375,0.46,0.667,0.085,0.077
KJ Simpson,16.5,6.5,2.3,4.1,2.0,0.4,3.3,17.6,7.6,2.9,0.4,0.346,0.254,0.82,36,842,0.437,19.1,19.8,4.8,9.0,2.0,0.7,14.8,0.432,0.166,-4.5,-0.9,0.179,0.103,0.432,0.648,0.226,0.324,0.667,0.01,0.146
Dereck Lively II,18.2,4.9,6.0,9.6,1.2,3.3,2.4,11.1,0.0,4.2,0.702,0.702,0.0,0.63,36,833,0.704,13.6,14.3,13.9,21.3,1.2,5.7,15.5,0.0,0.382,1.1,2.2,0.571,0.026,0.0,0.798,0.2,0.791,0.0,0.393,0.0
Garrison Mathews,19.9,3.4,0.7,4.2,1.5,0.8,1.7,14.5,12.3,4.4,0.562,0.397,0.39,0.821,47,830,0.606,15.9,9.3,1.7,10.0,1.5,1.7,9.6,0.848,0.304,-1.1,-0.5,0.047,0.031,0.848,0.5,0.5,0.824,0.976,0.004,0.317
Cam Whitmore,28.1,2.9,2.1,6.8,1.8,0.8,2.7,23.7,10.8,4.2,0.525,0.444,0.355,0.75,51,827,0.549,23.9,8.9,4.5,15.1,1.8,1.4,9.6,0.454,0.179,0.7,-0.4,0.253,0.037,0.454,0.686,0.467,0.482,0.785,0.112,0.213
Karlo Matković,19.9,2.8,3.9,8.9,1.3,2.5,2.6,14.4,4.0,2.7,0.619,0.574,0.318,0.773,42,791,0.639,15.9,8.6,8.5,20.4,1.3,5.0,14.5,0.281,0.187,-1.9,-0.2,0.396,0.047,0.281,0.785,0.455,0.728,1.0,0.204,0.515
Jaylin Williams,17.0,7.3,2.9,13.1,1.3,1.8,2.1,13.5,9.4,1.8,0.577,0.439,0.399,0.767,47,784,0.594,14.6,19.0,6.7,28.7,1.3,3.7,13.0,0.692,0.136,1.5,2.7,0.149,0.059,0.692,0.606,0.385,0.639,0.967,0.059,0.144
Cam Thomas,38.2,6.0,1.0,4.3,1.0,0.1,4.0,28.9,12.4,9.6,0.513,0.438,0.349,0.881,25,781,0.575,32.6,22.9,2.1,10.4,1.0,0.3,10.6,0.43,0.333,2.8,-2.6,0.141,0.154,0.43,0.625,0.471,0.473,0.544,0.0,0.123
Lonzo Ball,16.0,6.9,1.5,5.6,2.8,1.0,2.5,14.6,11.7,1.6,0.504,0.366,0.344,0.815,35,777,0.524,15.9,18.9,3.4,12.3,2.8,1.9,13.9,0.802,0.111,-1.5,1.7,0.07,0.037,0.802,0.529,0.333,0.545,0.881,0.021,0.221
